Lugar,Pizzas,Personas,Size,Lo que sobró,Fecha
Apogeo,4,8,42,0,8/3/2024
Rosa,6,5,26,0,15/3/2024
SBARRO,6,7,42,2,22/3/2024
Apogeo,4,8,42,0,5/4/2024
Rigor,5,6,30,0,12/4/2024
Domino,5,8,36,0.4,19/4/2024
Apogeo,2,4,42,0,26/4/2024
Apogeo,4,7,42,1,3/5/2024
Almacén de Pizzas,4,6,32,0.3,10/5/2024
Apogeo,4,5,42,1.25,17/5/2024
Brandi,3.25,4,30,0.25,24/5/2024
Apogeo,4,7,32,0,31/5/2024
Brandi,6.5,7,30,1,7/6/2024
Apogeo,4,8,42,0,21/6/2024
SBARRO,3,6,42,0.3,28/6/2024
Almacén de Pizzas,3,5,32,0.125,5/7/2024
Apogeo,4,7,42,0.25,12/7/2024
Almacén de Pizzas,4,5,32,0.625,19/7/2024
Apogeo,3,4,42,0.25,26/7/2024
SBARRO,2,3,42,0.25,2/8/2024
Domino,2,4,36,0,9/8/2024
Almacén de Pizzas,3,4,32,0.25,16/8/2024
Rosa,6,6,26,0.25,23/8/2024
Brandi,4,4,30,1,13/9/2024
SBARRO,2,4,42,0,20/9/2024
Brandi,4,5,30,1,27/9/2024
SBARRO,2,4,42,0,4/10/2024
Domino,3,6,36,0,11/10/2024
Brandi,3,5,30,0,18/10/2024
SBARRO,2,4,42,0,25/10/24
Brandi,3,5,30,0,1/11/24
SBARRO,3,5,42,0.66,8/11/24
Domino,2,4,36,0.25,22/11/24
Domino,2,3,36,0.25,17/1/25
Brandi,3,4,30,0.625,24/1/25
SBARRO,3,5,42,0.5,31/1/25
Brandi,5,5,30,1,7/2/25
SBARRO,3,5,42,0.66,21/2/25
Brandi,4,5,30,0.5,28/2/25
Domino,3,5,36,0.5,14/3/25
Rigor,5,6,30,0,21/3/25
SBARRO,3,6,42,0.25,28/3/25
Brandi,5,6,30,0.75,4/4/25
Domino,3,5,36,0.5,11/4/25
Brandi,5,6,30,1.25,25/4/25
SBARRO,3,6,42,0.33,8/5/25
Domino,2,3,36,0.18,16/5/25
Brandi,3,3,30,0.16,23/5/25
SBARRO,1,2,42,0.056,6/6/25
Rigor,2,2,30,0,13/6/25
Domino,2,4,36,0,20/6/25
Brandi,3,4,30,0,27/6/25
